calls	60656
3_self_span	1061	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	<kernel:Bool>
3_self_span	848	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	<kernel:Int>
3_self_span	64	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	<kernel:K>
3_self_span	49	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	<kernel:M>
3_self_span	1	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	<kernel:N>
3_self_span	6	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	<kernel:R>
3_self_span	4132	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	<kernel:String>
3_self_span	4	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	<kernel:V>
3_self_span	4	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	dag/extdeps/container/oci/digest.dag
3_self_span	5	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	dag/extdeps/external_authority.dag
3_self_span	2	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	dag/extdeps/languages/rust/derive_contracts.dag
3_self_span	12	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	dag/extdeps/languages/rust/emit.dag
3_self_span	12	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	dag/extdeps/rust/cargo.dag
3_self_span	11	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	dag/extdeps/rust/version.dag
3_self_span	20	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	dag/extdeps/uri.dag
3_self_span	5	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	dag/extdeps/uri_path.dag
1_resolved_span	1	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	dag/extdeps/version.dag
3_self_span	5	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	dag/extdeps/version/semver.dag
3_self_span	4	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	dag/gunbc/stage0_crate_partition_generated.dag
1_resolved_span	49	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	dag/std/algebra.dag
3_self_span	33	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	dag/std/algebra.dag
3_self_span	6	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	dag/std/checked_arithmetic.dag
3_self_span	20	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	dag/std/coercion.dag
3_self_span	14	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	dag/std/computation.dag
3_self_span	4	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	dag/std/content_hash.dag
3_self_span	3	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	dag/std/decl_ref.dag
3_self_span	2	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	dag/std/disposition.dag
3_self_span	1	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	dag/std/dissolution.dag
3_self_span	26	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	dag/std/effects.dag
