index,x_mm,y_mm,pad_dia_mm
759,-21.7306,27.3678,0.46
760,-20.7348,27.3678,0.46
761,-19.7389,27.3678,0.46
762,-18.7431,27.3678,0.46
763,-17.7473,27.3678,0.46
764,-16.7159,27.3678,0.46
765,-15.7200,27.3678,0.46
766,-14.7598,27.3678,0.46
767,-13.7283,27.3678,0.46
768,-12.7325,27.3678,0.46
769,-11.7367,27.3678,0.46
770,-10.7408,27.3678,0.46
771,-9.7450,27.3678,0.46
772,-8.7136,27.3678,0.46
773,-7.7533,27.3678,0.46
774,-6.7219,27.3678,0.46
775,-5.7261,27.3678,0.46
776,-4.7302,27.3678,0.46
777,-3.7344,27.3678,0.46
778,-2.7386,27.3678,0.46
779,-1.7427,27.3678,0.46
780,-0.7469,27.3678,0.46
781,0.2845,27.3678,0.46
782,1.2448,27.3678,0.46
783,2.2762,27.3678,0.46
784,3.2720,27.3678,0.46
785,4.2679,27.3678,0.46
786,5.2637,27.3678,0.46
787,6.2596,27.3678,0.46
788,7.2910,27.3678,0.46
789,8.2512,27.3678,0.46
790,9.2471,27.3678,0.46
791,10.2785,27.3678,0.46
792,11.2743,27.3678,0.46
793,12.2702,27.3678,0.46
794,13.2660,27.3678,0.46
795,14.2618,27.3678,0.46
796,15.2577,27.3678,0.46
797,16.2535,27.3678,0.46
798,17.2494,27.3678,0.46
799,18.2808,27.3678,0.46
800,19.2766,27.3678,0.46
801,20.2369,27.3678,0.46
802,21.2683,27.3678,0.46
803,22.2641,27.3678,0.46
804,23.2599,27.3678,0.46
805,24.2558,27.3678,0.46
806,25.2516,27.3678,0.46
807,26.2830,27.3678,0.46
808,27.2789,27.3678,0.46
809,28.2747,27.3678,0.46
810,29.2705,27.3678,0.46
811,30.2664,27.3678,0.46
812,31.2622,27.3678,0.46
813,-31.2267,26.4253,0.46
814,-30.2308,26.4253,0.46
815,-29.2350,26.4253,0.46
816,-28.2391,26.4253,0.46
817,-27.2433,26.4253,0.46
818,-26.2119,26.4253,0.46
819,-25.2516,26.4253,0.46
820,-24.2558,26.4253,0.46
821,-23.2244,26.4253,0.46
822,-22.2285,26.4253,0.46
823,-21.2327,26.4253,0.46
824,-20.2369,26.4253,0.46
825,-19.2410,26.4253,0.46
826,-18.2452,26.4253,0.46
827,-17.2138,26.4253,0.46
828,-16.2535,26.4253,0.46
829,-15.2221,26.4253,0.46
830,-14.2263,26.4253,0.46
831,-13.2304,26.4253,0.46
832,-12.2346,26.4253,0.46
833,-11.2388,26.4253,0.46
834,-10.2073,26.4253,0.46
835,-9.2471,26.4253,0.46
836,-8.2512,26.4253,0.46
837,-7.2198,26.4253,0.46
838,-6.2240,26.4253,0.46
839,-5.2282,26.4253,0.46
