code	block	manifestation	file	line	col	expected	found	mechanism	e0308_candidate_projection	message
E0308	114	1	src/std_state_durability.rs	878	59	Rc<StateDurabilityEvidence<Target, ReadbackSubject>>	Rc<Vector<Rc<StateDurabilityEvidence<Target, ReadbackSubject>>>>	UNCLASSIFIED	RESIDUE	mismatched types
E0560	115	1	src/v2_std_collection.rs	94	5			UNCLASSIFIED		struct `Rc<PartialFunction<_, _>>` has no field named `lookup`
E0277	116	1	src/v2_std_collection.rs	96	14			UNCLASSIFIED		the trait bound `K: Eq` is not satisfied
E0277	117	1	src/v2_std_collection.rs	96	14			UNCLASSIFIED		the trait bound `K: std::hash::Hash` is not satisfied
E0308	118	1	src/v2_std_collection.rs	93	13	HashMap<K, V>	Rc<PartialFunction<_, _>>	UNCLASSIFIED	T3	mismatched types
E0277	119	1	src/v2_std_collection.rs	102	5			UNCLASSIFIED		the trait bound `K: Eq` is not satisfied
E0277	120	1	src/v2_std_collection.rs	102	5			UNCLASSIFIED		the trait bound `K: std::hash::Hash` is not satisfied
E0061	121	1	src/v2_std_cross_tree_import_model.rs	88	5			UNCLASSIFIED		this function takes 2 arguments but 3 arguments were supplied
E0308	122	1	src/v2_std_fold_assembly.rs	258	38	Rc<Outcome<Rc<Vector<Rc<Vector<Rc<Node>>>>>>>	Rc<Outcome<Rc<Vector<Rc<Node>>>>>	UNCLASSIFIED	ELEM-COLL	`match` arms have incompatible types
E0308	123	1	src/std_cache_interface.rs	638	12	Option<String>	None	UNCLASSIFIED	R2	mismatched types
E0308	124	1	src/std_cache_interface.rs	652	22	Rc<Measure<(), (), i64>>	Rc<Measure<(), (), Rc<i64>>>	UNCLASSIFIED	R1	mismatched types
E0308	124	2	src/std_cache_interface.rs	652	22	Rc<Measure<_, _, i64>>	Rc<Measure<_, _, Rc<i64>>>	UNCLASSIFIED	R1	mismatched types
E0308	125	1	src/std_cache_interface.rs	667	23	Rc<Measure<(), (), i64>>	Rc<Measure<(), (), Rc<i64>>>	UNCLASSIFIED	R1	mismatched types
E0308	125	2	src/std_cache_interface.rs	667	23	Rc<Measure<_, _, i64>>	Rc<Measure<_, _, Rc<i64>>>	UNCLASSIFIED	R1	mismatched types
E0308	126	1	src/std_cache_interface.rs	695	5	String	Option<String>	UNCLASSIFIED	R2	mismatched types
E0308	127	1	src/std_cache_interface.rs	699	5	String	Option<String>	UNCLASSIFIED	R2	mismatched types
E0308	128	1	src/std_cache_interface.rs	703	5	Rc<CacheInterfaceFacts>	Option<Rc<CacheInterfaceFacts>>	UNCLASSIFIED	R2	mismatched types
E0308	128	2	src/std_cache_interface.rs	703	5	Rc<_>	Option<Rc<_>>	UNCLASSIFIED	R2	mismatched types
E0308	129	1	src/std_realization_measurement.rs	96	11	Rc<Measure<(), S, Rc<i64>>>	Rc<Measure<(), S, i64>>	UNCLASSIFIED	R1	mismatched types
E0308	129	2	src/std_realization_measurement.rs	96	11	Rc<Measure<_, _, Rc<i64>>>	Rc<Measure<_, _, i64>>	UNCLASSIFIED	R1	mismatched types
E0308	130	1	src/std_realization_reconcile.rs	85	65	A	&A	ABSENT_CLONE_BOUND	A-clone	mismatched types
E0308	130	2	src/std_realization_reconcile.rs	85	65	_	&_	ABSENT_CLONE_BOUND	A-clone	mismatched types
E0425	131	1	src/v2_lens_module_graph.rs	97	5			UNCLASSIFIED		cannot find function `import_resolution_facts` in this scope
E0425	132	1	src/v2_lens_module_graph.rs	101	5			UNCLASSIFIED		cannot find function `reference_resolution_facts` in this scope
E0425	133	1	src/v2_lens_module_graph.rs	114	5			UNCLASSIFIED		cannot find function `module_declaration_facts` in this scope
E0425	134	1	src/v2_lens_module_graph.rs	130	5			UNCLASSIFIED		cannot find function `dependency_resolution_facts` in this scope
E0061	135	1	src/v2_lens_module_graph.rs	161	8			UNCLASSIFIED		this function takes 2 arguments but 3 arguments were supplied
E0061	136	1	src/v2_lens_module_graph.rs	190	8			UNCLASSIFIED		this function takes 2 arguments but 3 arguments were supplied
E0061	137	1	src/v2_lens_module_graph.rs	223	8			UNCLASSIFIED		this function takes 2 arguments but 3 arguments were supplied
E0560	138	1	src/v2_std_model_core.rs	190	5			UNCLASSIFIED		struct `Rc<PartialFunction<_, _>>` has no field named `lookup`
E0308	139	1	src/v2_std_model_core.rs	189	13	HashMap<String, Rc<Node>>	Rc<PartialFunction<_, _>>	UNCLASSIFIED	T3	mismatched types
E0369	140	1	src/v2_std_nat.rs	56	23			UNCLASSIFIED		binary operation `<` cannot be applied to type `Rc<v2_std_nat::Nat>`
E0308	141	1	src/v2_std_node_query.rs	150	104	T	&T	ABSENT_CLONE_BOUND	A-clone	mismatched types
E0308	141	2	src/v2_std_node_query.rs	150	104	_	&_	ABSENT_CLONE_BOUND	A-clone	mismatched types
E0308	142	1	src/v2_std_provenance.rs	79	27	Option<Rc<OriginEvent>>	Rc<OriginEvent>	UNCLASSIFIED	R2	mismatched types
E0308	142	2	src/v2_std_provenance.rs	79	27	Option<Rc<_>>	Rc<_>	UNCLASSIFIED	R2	mismatched types
E0308	143	1	src/v2_lens_determinism.rs	135	42	Rc<Determinism>	Rc<Edge>	UNCLASSIFIED	RESIDUE	arguments to this function are incorrect
E0308	144	1	src/v2_lens_determinism.rs	161	64	Witness<Rc<DeterminismFact>>	Witness<DeterminismFact>	UNCLASSIFIED	R1	mismatched types
E0308	145	1	src/v2_std_cardinality.rs	581	42	Rc<Witness<Rc<TerminationProof>>>	Rc<Edge>	UNCLASSIFIED	RESIDUE	arguments to this function are incorrect
E0308	146	1	src/v2_std_compilers_lexing.rs	235	13	Vector<Rc<Token>>	Rc<Vector<Rc<Token>>>	UNCLASSIFIED	R1	mismatched types
E0308	147	1	src/v2_std_integer.rs	1359	26	Rc<Nat>	{integer}	UNCLASSIFIED	B3	mismatched types
E0308	148	1	src/v2_std_integer.rs	1362	30	Rc<Nat>	{integer}	UNCLASSIFIED	B3	mismatched types
E0308	149	1	src/v2_std_integer.rs	1365	34	Rc<Nat>	{integer}	UNCLASSIFIED	B3	mismatched types
E0308	150	1	src/v2_std_integer.rs	1368	38	Rc<Nat>	{integer}	UNCLASSIFIED	B3	mismatched types
E0308	151	1	src/v2_std_integer.rs	1371	42	Rc<Nat>	{integer}	UNCLASSIFIED	B3	mismatched types
