test.claim.host_phase_status.witness_reconcile_covers_upsert_teardown_and_noop	HOST-PRIMITIVE-CONTRACT	T1-arity	atom_identity_hash	type error: atom_identity_hash requires exactly one string argument
test.claim.host_phase_status.witness_matrix_is_exact_join_over_participation_programs	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	srv3_install_hang_no_router_lease_ms	no such function: srv3_install_hang_no_router_lease_ms
test.claim.host_phase_status.witness_live_observation_frontier_is_one_cell	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	srv3_install_hang_no_router_lease_ms	no such function: srv3_install_hang_no_router_lease_ms
test.claim.host_phase_status.witness_unmodeled_cells_track_spine_gaps	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	srv3_install_hang_no_router_lease_ms	no such function: srv3_install_hang_no_router_lease_ms
test.claim.host_phase_status.witness_remaining_work_counts_every_unfinished_cell	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	srv3_install_hang_no_router_lease_ms	no such function: srv3_install_hang_no_router_lease_ms
test.claim.host_phase_status.witness_program_scoping_preserves_the_runner_fleet_matrix	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	srv3_install_hang_no_router_lease_ms	no such function: srv3_install_hang_no_router_lease_ms
test.claim.host_phase_status.witness_fleet_matrix_has_no_duplicated_cells	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	srv3_install_hang_no_router_lease_ms	no such function: srv3_install_hang_no_router_lease_ms
test.claim.host_phase_status.witness_matrix_hosts_are_exactly_the_enrolled_roster	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	srv3_install_hang_no_router_lease_ms	no such function: srv3_install_hang_no_router_lease_ms
test.claim.host_phase_status.witness_enrolled_sparks_carry_exactly_the_shared_obligations	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	srv3_install_hang_no_router_lease_ms	no such function: srv3_install_hang_no_router_lease_ms
test.claim.host_phase_status.witness_enrolled_spark_cells_are_all_unobserved	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	srv3_install_hang_no_router_lease_ms	no such function: srv3_install_hang_no_router_lease_ms
test.claim.host_phase_status.witness_runner_only_obligations_exist_on_runner_hosts	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	srv3_install_hang_no_router_lease_ms	no such function: srv3_install_hang_no_router_lease_ms
test.claim.host_phase_status.witness_every_covered_cell_today_is_the_authored_one	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	srv3_install_hang_no_router_lease_ms	no such function: srv3_install_hang_no_router_lease_ms
test.claim.host_reach_identity_probe_witness.committed_probe_receipts_feed_producers_and_grow_coverage	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	srv3_post_install_lease_table_fixture	no such function: srv3_post_install_lease_table_fixture
test.claim.host_reach_identity_probe_witness.observe_host_phase_routes_by_label_and_stays_fail_closed	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	srv3_post_install_lease_table_fixture	no such function: srv3_post_install_lease_table_fixture
test.claim.host_standup_assimilation_deduction.pre_install_within_budget_is_absent_not_converged	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	srv3_install_hang_no_router_lease_ms	no such function: srv3_install_hang_no_router_lease_ms
test.claim.host_standup_assimilation_deduction.post_install_lease_row_deduces_converged_noop	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	srv3_install_hang_no_router_lease_ms	no such function: srv3_install_hang_no_router_lease_ms
test.claim.host_standup_assimilation_deduction.unreadable_lease_is_unknown_refused_not_pending	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	srv3_install_hang_no_router_lease_ms	no such function: srv3_install_hang_no_router_lease_ms
test.claim.host_standup_assimilation_deduction.no_lease_past_budget_is_drifted_not_fabricated_success	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	srv3_install_hang_no_router_lease_ms	no such function: srv3_install_hang_no_router_lease_ms
